Fine-Tuning,M1,M2,M3,MHu2,MHd2,signmu,Mq2ii,Ml2ii,Mu2ii,Md2ii,Me2ii,Mq233,Ml233,Mu233,Md233,Me233,Tu33,Td33,Te33,tanb
973.655845,-164.0625,-257.8125,1746.09375,773437.5,6398437.5,-1,4816406.25,7277343.75,2777343.75,4113281.25,5238281.25,246093.75,3410156.25,2425781.25,3902343.75,8050781.25,1898.4375,-164.0625,1757.8125,34.53125
135.55197,1101.5625,-1054.6875,316.40625,351562.5,6820312.5,-1,1792968.75,3550781.25,5238281.25,4324218.75,949218.75,2425781.25,6996093.75,2636718.75,5800781.25,3339843.75,257.8125,1101.5625,-1289.0625,45.46875
671.548596,503.90625,-2074.21875,1212.89062,7558593.75,8402343.75,-1,8279296.88,6802734.38,615234.375,720703.125,3638671.88,6099609.38,2759765.62,8982421.88,2126953.12,8947265.62,-2003.90625,503.90625,-972.65625,43.046875
546.735354,-808.59375,-2636.71875,1494.14062,8121093.75,6714843.75,-1,6873046.88,896484.375,8771484.38,439453.125,4482421.88,8068359.38,7541015.62,1388671.88,6345703.12,7541015.62,2683.59375,-808.59375,-410.15625,21.796875
401.214343,-11.71875,-2683.59375,908.203125,4605468.75,5730468.75,-1,7224609.38,3357421.88,8419921.88,2197265.62,2724609.38,5185546.88,4939453.12,7505859.38,2619140.62,6486328.12,2167.96875,-11.71875,1699.21875,18.984375
771.681763,363.28125,-1558.59375,720.703125,3480468.75,4605468.75,-1,7787109.38,5044921.88,6732421.88,2759765.62,2162109.38,4623046.88,6626953.12,6943359.38,7681640.62,8173828.12,2542.96875,363.28125,-175.78125,46.484375
785.966261,-105.46875,-2402.34375,1517.57812,949218.75,8261718.75,-1,3708984.38,3498046.88,4060546.88,4025390.62,4552734.38,6451171.88,2267578.12,2021484.38,8384765.62,2126953.12,574.21875,-105.46875,-832.03125,45.859375
256.349451,-720.703125,-134.765625,618.164062,4517578.12,6837890.62,-1,5721679.69,307617.188,1221679.69,2241210.94,1854492.19,2944335.94,413085.938,5950195.31,4702148.44,5159179.69,-896.484375,-720.703125,-498.046875,40.3515625
605.937731,-814.453125,-228.515625,1696.28906,7048828.12,8806640.62,-1,2206054.69,2135742.19,237304.688,975585.938,5088867.19,1678710.94,3928710.94,4965820.31,2030273.44,3893554.69,2759.76562,-814.453125,-216.796875,23.4765625
802.371352,-111.328125,-744.140625,1297.85156,1845703.12,6134765.62,-1,5229492.19,2487304.69,4948242.19,3577148.44,3893554.69,4420898.44,8780273.44,5176757.81,3506835.94,4666992.19,744.140625,-111.328125,-1388.67188,48.7890625
